__ntuple,entry,rec.dlp..index,rec.dlp.particles..index,pdg,genE,interaction_id,is_contained,is_fiducial,match_overlaps
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,0,0,0,22.0,0.0063862777,0.0,1.0,1.0,0.02248839
1,0,0,1,2212.0,0.99183416,0.0,1.0,1.0,0.02248839
1,0,0,2,2212.0,0.9829835,0.0,1.0,1.0,0.02248839
1,0,1,0,22.0,0.006156571,0.0,0.0,1.0,0.7662206
1,0,1,1,22.0,0.004761753,0.0,0.0,1.0,0.7662206
1,0,1,2,22.0,0.005346863,0.0,0.0,1.0,0.7662206
1,0,1,3,,,,0.0,1.0,0.7662206
1,0,1,4,22.0,0.0060989414,-1.0,0.0,1.0,0.7662206
1,0,1,5,,,,0.0,1.0,0.7662206
1,0,1,6,22.0,0.00612053,0.0,0.0,1.0,0.7662206
1,0,1,7,22.0,0.005310847,0.0,0.0,1.0,0.7662206
1,0,1,8,22.0,0.0062305853,0.0,0.0,1.0,0.7662206
1,0,1,9,22.0,0.0067799594,-1.0,0.0,1.0,0.7662206
1,0,1,10,22.0,0.0033052294,0.0,0.0,1.0,0.7662206
1,0,1,11,22.0,0.0064640036,-1.0,0.0,1.0,0.7662206
1,0,1,12,,,,0.0,1.0,0.7662206
1,0,1,13,,,,0.0,1.0,0.7662206
1,0,1,14,,,,0.0,1.0,0.7662206
1,0,1,15,2212.0,0.9943487,0.0,0.0,1.0,0.7662206
1,0,1,16,211.0,0.23143516,0.0,0.0,1.0,0.7662206
1,0,1,17,2212.0,1.0317541,0.0,0.0,1.0,0.7662206
1,0,1,18,2212.0,1.0317541,0.0,0.0,1.0,0.7662206
1,0,1,19,2212.0,0.98946,0.0,0.0,1.0,0.7662206
1,0,1,20,2212.0,1.0352963,0.0,0.0,1.0,0.7662206
1,0,1,21,2212.0,1.0352963,0.0,0.0,1.0,0.7662206
1,0,1,22,2212.0,1.2499038,0.0,0.0,1.0,0.7662206
1,0,1,23,13.0,2.025427,0.0,0.0,1.0,0.7662206
1,0,1,24,2212.0,0.9843889,0.0,0.0,1.0,0.7662206
1,0,1,25,2212.0,1.018768,0.0,0.0,1.0,0.7662206
1,0,1,26,2212.0,0.9843889,0.0,0.0,1.0,0.7662206
1,0,1,27,-211.0,0.51216125,-1.0,0.0,1.0,0.7662206
1,0,1,28,-211.0,0.26046392,-1.0,0.0,1.0,0.7662206
1,0,1,29,2212.0,0.9812355,-1.0,0.0,1.0,0.7662206
1,0,2,0,,,,0.0,0.0,0.12618296
1,0,2,1,13.0,1.3810818,-1.0,0.0,0.0,0.12618296
1,0,3,0,,,,0.0,0.0,0.9329212
1,0,3,1,,,,0.0,0.0,0.9329212
1,0,3,2,,,,0.0,0.0,0.9329212
1,0,3,3,,,,0.0,0.0,0.9329212
1,0,3,4,-13.0,35.632095,-1.0,0.0,0.0,0.9329212
1,0,4,0,,,,0.0,0.0,0.9252317
1,0,4,1,22.0,0.005495215,-1.0,0.0,0.0,0.9252317
1,0,4,2,-11.0,0.052612077,-1.0,0.0,0.0,0.9252317
1,0,4,3,-13.0,3.9223492,-1.0,0.0,0.0,0.9252317
